Subject,Agency,Solicitation #,Date,Year,Description
RENOVATION & EXPANSION OF OFFICE SPACE FOR THE USMS,General Services Administration,GS-07P-99-UHC-0009,0519,99,"General Services Administration is soliciting proposals for Renovtion & Expansion of Office Space for the United States Marshals Service Space on the 1st Floor at the FB/CTHSE, Lubbock, TX, Solicitation No. GS-07P-99-UHC-0009, Project No.  RTX99008.  Point of Contact, Kathey K. Thury, Contracting Officer, 817/978-7349, Fax 817/978-7098, e-mail kathey.thury@gsa.gov.  Z-Sic Code-1542.  The project consists of, but is not limited to, providing all material, labor, tools and equipment to renovate and expand office space for the United States Marshals Service.  Work will include but is not limited to general office space, holding cells, interview rooms for the United States Marshals Service on the 1st floor.  All work will be performed after normal duty hours.  The estimate cost range is $500,000 - $900,000.  Contract completion is 100 calendar days from issuance of full notice to proceed.  A limited notice to proceed will be issued on this project.  The project is being procured using negotiation procedures, which will result in a firm fixed-priced award.  Award can be made without discussions.  No information will be released after proposals are opened until the contract is awarded.  There will be no public opening of offers.  All firms must be prequalified by the Contracting Officer in order to receive a copy of the specifications/drawings.  Prequalification is dependent upon the firms past performance/experience on similar detention projects.  The projects must have been perfomred in a detention facility, either federal, state, county or city.  The term similar projects shall be defined for prequalified evaluation purposes as projects with maximum security detention construction, including, but not limited to construction of detention grade holding cells, prisoner sallyports prisoner processing/fingerprinting areas, interview rooms, communications room, special fitness training areas, vaults, secured sortage rooms and office space in a detention facility.  Firms must have performed in a detention facility one similar dollar range project within the past (2) two years.  The firm prequalified information must be faxed to the Contracting Officer, Kathey Thury, no later then June 4, 1999.  Firms must request the prequalified packages from the Contracting Office, Kathey Thury,by fax or e-mail.  Issuance of the specification/drawings to the prequalified firms will be on or about June 7, 1999.  A pre-proposal will be conducted for the firms that have been prequalified.  The proposasl are due to the Contracting Officer no later then 2:30p.m., CST, July 14, 1999.This solicitation and any related documents to this procurement will not be available for downloading over the internet.  The Contracting Officer will issues the specification and drawing by mail.  This solicitation is set aside for small business.  Bid/performance bonds will be required. Proposal acceptance period will be 90 calendar days.  This procurement is being made under the small business demonstration program."
"ELEVATOR MODERNIZATION, AUSTIN, TX",General Services Administration,GS-07P-99-UHC-0011,0614,99,"SIC Code:  1796.  Provide all materials & labor to:  a) modernize 2 passenger elevators @ VA Data Center, 1615 East Woodward, under Project #RTX96022; and b) modernize 1 passenger elevator @ Homer Thornberry Bldg., 903 San Jacinto, under Project #RTX96043.  Both projects are located in Austin, Texas, and include fire service and handicap requirements.  The combined estimated cost range for both projects is:  $250,000 to $500,000.  This contract will be acquired utilizing informal source selection procedures with a firm fixed price award to the offeror who provides the best value to the Government.  GSA is issuing this solicitation only electronically o/a 07/01/99.  The  solicitation, and any documents related to this procurement, will be available via the Internet in Adobe Acrobat (.pdf) format.  This data will reside on a World-Wide Web (www) server which may be accessed using a www browser application.  Interested parties may access the solicitation at  http://www.eps.gov/. This site provides instructions for downloading the solicitation file.  Potential offerors are responsible for monitoring this site for the release of the solicitation and any related amendments, if applicable.  This solicitation is being procured on an unrestricted basis under the Small Business Competitiveness Demonstration Program.  A bid guarantee will be required.  NOTE:  If you wish to be included on the Planholders' List for this solicitation, please forward your company name, mailing address &/or e-mail address, telephone &/or fax number to the POC."
"ROOF REPLACEMENT, SANTA TERESA, NM",General Services Administration,GS-07P-99-UHC-0016,0628,99,"SIC Code:  1761.  Provide all labor, equipment, materials, & supervision to remove the existing roof system and related components/accessories, and install a new roof system and components/accessories @ the U.S. Border Station, 1005 Highway 9, Santa Teresa, NM, under Project #ATX98019.  The estimated cost range for this projects is:  $25,000 to $100,000.  This contract will be acquired utilizing informal source selection procedures with a firm fixed price award to the offeror who provides the best value to the Government.  GSA is issuing this solicitation only electronically o/a 07/15/99.  The solicitation, and any documents related to this procurement, will be available via the Internet in Adobe Acrobat (.pdf) format.  This data will reside on a World-Wide Web (www) server which may be accessed using a www browser application.  Interested parties may access the solicitation at  http://www.eps.gov/.  This site provides instructions for downloading the solicitation file.  Potential offerors are responsible for monitoring this site for the release of the solicitation and any related amendments, if applicable.  This solicitation is being procured on an unrestricted basis under the Small Business Competitiveness Demonstration Program.  NOTE:  If you wish to be included on the Planholders' List for this solicitation, please forward your company name, mailing address &/or e-mail address, telephone &/or fax number to the POC."
"EXTERIOR BUILDING AND MASONRY REPAIR AND RESTORATION, JACK BROOKS FEDERAL BUILDING/COURTHOUSE, BROADWAY AND WILLOW STREETS, BEAUMONT, TX.",General Services Administration,GS-07P-99-URC-0024,0623,99,"SIC Code 1741:  Provide all labor, materials, equipment and supervision to perform exterior building and window repairs and restoration at the Jack Brooks Federal Building/Courthouse/USPO, Broadway and Willow Streets, Beaumont, TX."
"FULL MAINTENANCE SERVICES IN HOT SPRINGS & RUSSELLVILLE, AR",General Services Administration,GS-07P-99-UTC-0020,0616,99,"SIC CODE:  7349.  Solicitation GS-07P-99-UTC-0020, Provide all labor, material, equipment and supervisor to perform Full Maintenance services at Federal Buildings in Hot Springs and Russellville, AR.  Contract period Oct 1, 1999 thru September 30, 2004, with two, five year option periods, for a total of fifteen years.  This contract will be acquired utilizing SOURCE SELECTION procedures with award based on ""GREATEST VALUE"" concept.  Anticipated release date of the request for proposal is on/or about June 30, 1999, with an anticipated receipt for proposal date July 30, 1999.  The solicitation and any documents related to this procurement will e available over the Internet.  These documents will be in PDF format and will reside on a World Wide Web (WWW) server, which may be accessed using a WWW browser application.  The WWW address of the General Services Administration page is http://eps.gov.   Prospective offerors shall notify this office (either by electronic mail of facsimilie) of their intent to submit an offer.  It is the offeror's responsibility to monitor this site for release of the solicitation and amendments (if any).  Potential offerors will be responsible for downloading their own copy of the solicitation and any amendments (if any).  Any reference numbered notes can be viewed at the above website.  This solicitation is set aside for small business.  Current contractors and prices are as follows:  Hot Springs, AR, Custodial, Rosemark, $4,644.18/mo., Hot Springs Mechanical Maintenance, Fedserv, $5,021.89/mo., Russellville, AR Full Maintenance, Rosemark, $3,782.66/mo.  Bid/performance bonds will not be required.  All responsive offers from responsible sources will be considered."
"EXTERIOR MASONRY RESTORATION, F. EDWARD HEBERT FEDERAL BUILDING, 600 S. MAESTRI PLACE, NEW ORLEANS, LA.",General Services Administration,GS-07P-99-UUC-0039,0601,99,"SIC Code 1741:  Provide all labor, materials, equipment and supervision to perform exterior masonry restoration at the F. Edward Hebert Federal Building, 600 S. Maestri Place, New Orleans, LA."
REPLACEMENT OF EJECTOR SYSTEM,General Services Administration,GS-07P-99-UUC-0043,0702,99,"SIC Code 1711:  Provide all labor, materials, equipment and supervision to perform the replacement of ejector systems at the Defense Information Systems Agency  (DISA) building, 1010 Gause Blvd., Slidell, LA."
"RELACE CHILLERS,  A. J. ELLENDER FEDERAL BUILDING, 423 LAFAYETTE STREET, HOUMA, LA",General Services Administration,GS-07P-99-UUC-0044,0608,99,"SIC Code 1711:  Provide all labor, materials, equipment and supervision to replace Chillers at the A. J. Ellender Federal Building, 423 Lafayette St., Houma, LA."
GROUNDS MAINTENANCE FOR DOWNTOWN DENVER,General Services Administration,GS-08P-2000-JBC-0004,1108,99,(i) This is a 100% Small Business Set-Aside combined synopsis/solicitation for commercial items prepared in accordance with the format in subpart 12.6 as supplemented with additional information included in this notice.(ii) The solicitation number GS-08P-00-JBC-0004 is hereby issued as a Request for Proposal.
"RENOVATION, JUDGE'S CHAMBERS, FB/CH, RAPID CITY, SOUTH DAKOTA",General Services Administration,GS-08P-99-JCC-0043,0723,99,"SIC Code 1542.  Renovation of Judge_s Chambers, FB/CH, Rapid City, South Dakota.  This will act as the PRE-SOLICITATION NOTICE.  There will be no hard copy.  This acquisition is being procured under the Small Business Competitiveness Demonstration Program, and is open for competition by both large and small businesses.  The estimated construction range is $250,000 to $500,000.  The solicitation issue date is o/a 8/25/99.  The bid opening date will be o/a 9/24/99.  The dates for the site visit or pre-construction conference will be announced in the Solicitation when issued.  Award is expected to be o/a 10/08/99.  Construction start date is expected to be o/a 10/29/99.  The performance period is 90 days.  This solicitation may be made available on the internet at http://www.eps.gov.  Blueprints will not be available on the internet.  To obtain blueprints for this project, submit an E-Mail request to jeane.hanrahan@gsa.gov.  All requests must include the contact name with phone number and fax number.  For hard copies of the solicitation, submit your E-Mail requests to the Contracting Officer at the address listed above.  Only E-Mail requests will be honored.  All requests must be received by COB 9/10/99 unless the solicitation closing date is extended."
MAINTENANCE AND CUSTODIAL,General Services Administration,GS-08P-99-VEC-0028,0618,99,"Provide all management, supervision, labor, supplies, materials, equipment, and tools to perform mechanical maintenance and custodial services located at the Federal Building, 196 E. Tabernacle St., St. George, Utah.  Requests for solicitation packages will be made in writing to:  Nancy Pawlowski, 125 S. State St., Room 2205, Salt Lake City, Utah  84138-1199 or faxed to 801-524-6067; no phone calls accepted.  Solicitation packages will be available o/a 6-29-99.  BOD o/a 7-22-99 @ 10:00 a.m. All responsible sources will be considered. SIC 7349 Estimated cost range:  $25,000 - $100,000."
"FOOD SERVICES - FAA - RENTON, WA",Department of Homeland Security,GS-10P-99-LSC-0072,0720,99,"Establish and operate the food service facilities described herein for the purpose of dispensing food, non-alcoholic beverages and such other items as may be authorized by the contracting officer in accordance with the terms of this contract."
"ARMED GUARD SERVICES, VARIOUS LOCATIONS, ALASKA",Department of Homeland Security,GS-10P-99-LSD-0063,0607,99,General Services Administration is issusing this solicitation only electronically.
"APPRAISAL SERVICES, ALASKA, IDAHO, OREGON AND WASHINGTON",Department of Homeland Security,GS-10P-99-LSD-0067,0709,99,"General Services Administration, Northwest Arctic Region has need for appraisal services within the 4 State area of Washington, Oregon, Idaho and Alaska.  Multiple awards will be made, one to each state.  The contractor must be physically located in the state where the work is to be performed.  The contractor shall fully comply with all local, city, state and federal laws, regulations and ordinances, be liable for all applicable federal state and local taxes and obtain and pay for all permits and licenses needed under this contract.  Contract is anticipated to be awarded 9/1/99 and run for a 12-month period to 8/31/00; with four 12 month option periods. This solicitation is set aside for small business participation.  SIC Code 6531 is applicable, size standard is 1.5 million as measured by total revenues, but excluding funds received in trust for an unaffiliated third party, such as bookings or sales subject to commissions.  The commissions received are included as revenue.  Solicitation will be posted July 9, 1999.  Closing is set for August 9, 1999.."
"PROVIDE SECURITY GUARD SERVICES AT THE WINDER BUILDING, 600-17TH STREET, NW, AND 1724 F STREET, NW, BUILDINGS LOCATED IN WASHINGTON, DC",General Services Administration,GS-11P-99-ZGD-0127,0622,99,"This Request For Invitation to Bids is to provide security guard services at the Winder Building, 600-17th Street, NW, and 1724 F Street, NW, buildings located in Washington, DC, for a period of one year with the Government having the unilateral option to extend services for four (4) consecutive additional periods of one year each.The solicitation issue date will be on or about July 16, 1999.This procurement is totally set aside for small businesses.Services are expected to begin on or about October 1, 1999, and continue through September 30, 1999.There is a bid guarantee required in an amount equal to 20% of the initial year price.The solicitation will not be available on the internet.All responsible non-excluded sources may submit a bid which will be considered by the agency.*****"
PLUMBING UPDATE,General Services Administration,GS-11P99-YTC-0056,0226,99,"Upgrade Plumbing and associated components throughout the Building as indicated in contract documents.  HOLC Building, 320 First Street, NW, Washington, DC., PCN:RDC67163. Cost Range $1,000,000.00 to $3,000,000.00.  This solicitation is not set-aside for small business. However, this procurement is being made under the Small Business Competitiveness Demonstration Program and Subject to a Subcontracting Plan under FAR 52.219-9.  The Drawings will be availabe for issuance on March 15, 1999.  The Bid Opening Date is April 13, 1999. GSA is issuing this solicitation both electronically and in hard copies.  You may access this solicitation and attachments at internet address:  http://eps.arnet.gov.  This solicitation incorporates documents (drawings) which are not available electronically.  Interested parties may request copies of these documents by writing or visiting the General Services Administration, Bid Room 7th & D Street, S. W., Room 1065, Washington, DC 20407."
DESIGN/BUILD CHILLER REPLACEMENT,General Services Administration,GS-11P99YQC0078,0505,99,"Solicitation No. GS-11PYQC0078, PCN: IDC58030, Design/Build Chiller Replacement, National Building Museum (Pension Building), 401 F Street, NW, Washington, DC. Bid Invitation Date: May 28, 1999. Copies of this solicitation may be obtained by contacting the GSA, NCR, ROB, Bid Activity Center, 7th & D Streets, SW, Room 1065, Washington, DC 20407. Telephone No. 202/708-9903."
"RENOVATE THE U.S. COURTHOUSE & FEDERAL BLDG., WILLIAMSPORT, PA",General Services Administration,GS-O3P-99-CDC-0013,0301,99,"The following is a reprint of the synopsis originally  published on 2/18/99.  Furnish all supervision, labor, materials, and equipment necessary to renovate the U.S. Courthouse and Federal Building in Williamsport, PA.  This project consists of, but is not limited to, work in the following areas: drywall, doors, HVAC, plumbing, electrical power and distribution, lighting, security systems, built-in furniture and fixtures, painting and finishing, carpeting, soundproofing and other associated work.  The estimated cost range for this project is between $750,000.00 and $2 million.  This is a metric project, as drawings and specifications are prepared utilizing metric units.  Offers will be evaluated using source selection/greatest value method outlined in the solicitation package based on the following evaluation factors: 1) Past Performance, 2) Key Personnel Qualifications and Organizational Chart, as well as Price related factors.  A pre-proposal conference for the technical proposal will be conducted at the Federal Building, GSA Conference Room on the 2nd Floor, Williamsport, PA on 3/10/99 at 10:00 a.m.  Please call Ms. Kimberly De Sant at (215) 656-6115 to confirm your attendance.  This solicitation, including any documents related to this procurement (except as noted below) will be available on the Internet only, on or about March 1, 1999.  This solicitation will include several forms and drawings needed to submit a price proposal, which are not available electronically.  Interested parties may request copies of these documents by FAXing their request to (215) 656-5955, Attn: Kim De Sant.  It is the offeror's responsibility to monitor this site for the release of the solicitation and any amendments.  Offerors are also responsible for downloading their own copy of the solicitation and amendments.  These documents will be in .pdf format and may be accessed on a World Wide Web (WWW) server at http://eps.arnet.gov .  This site provides instructions for downloading the solicitation file.  Potential offerors downloading this solicitation shall notify the Contracting Officer by facsimile in order to be placed on the bidder's list.  This procurement is UNRESTRICTED.  As a result, a Price Evaluation Preference factor of 10% will be applied to the evaluation of all contractors' price proposals, except for HUBZone Small Business concerns.  The SIC CODE is 1542.  This synopsis constitutes the synopsis of the Pre-Invitation Notice."
MECHANICAL MAITENANCE/AMBRIDGE SOCIAL SECURITY BLDG.,General Services Administration,GS03P99QKP0061,0716,99,"Provide all management, supervision, quality control, labor, materials, supplies and equipment necessary to perform Mechanical Maintenance at the Social Security Administration Building, 521 8th Street, Ambridge, PA 15003.  Bid specifications are attached in file Ambridge.doc.  Form 1447, Solicitation/Contract is attached as file 1447.pdf.  Should you have questions regarding these files, please contact Paula Blackwell @ 412-395-4983.  If you have technical questions regarding this solicitation, please contact Bob Sullinger @ 412-395-6582.  There will be a walk-through of the space at the Ambridge Social Security Building on August 11, 1999 @ 10:00 AM.  If you intend to attend the walk-through, contact Bob Sullinger @ 412-395-6582."
BUILDING OPERATION AND MECHANICAL MAINTENANCE SERVICES,General Services Administration,GS04P99RDC0012,0701,99,"Building Operation and Mechanical Maintenance Services for the Howard Baker Jr. Courthouse, Knoxville, TN; John J.Duncan Federal Building, Knoxville, TN and Federal Building, Kingston, TN for the period November 1, 1999 - October 31, 2000.  Total Small Business Set-aside.  Estimated Cost Range: $850,000 to $950,000 per year.  Anticipated issue date is July 26, 1999.  To receive a copy of this solicitation fax your request to (404) 730-9722 or mail your request to GSA (4PMC-A), 401 W. Peachtree St., N.W., Suite 2500, Atlanta, GA 30365-2550, Attn: Sandra E. Clark.  NOTE: The solicitation includes information on the current contract, e.g. prior years and current contractor this does not require a request under the Freedom of Information Act."
ELECTRICITY TO VARIOUS FEDERAL FACILITIES THROUGHOUT THE STATE OF ILLINOIS,General Services Administration,GS05P-99-GAC-0281,0901,99,"The General Services Administration is requesting proposals from electric generation suppliers to provide electric power to various Federal facilities throughout the state of Illinois.  The awardee will supply electricity for 12 billing cycles beginning October 1, 1999 or later.  Proposal closing is September 30, 1999, at 2:00 PM EST.  The solicitation will be posted on the Internet at http://www.eps.gov/ on or about September 1, 1999.   Award will be made to the technically responsible, lowest price contractor."
HVAC MAINTENANCE AND SERVICE,General Services Administration,GS05P00GAC0008,1007,99,"Work includes, but is not limited to, furnishing labor, materials, supplies and supervision to perform HVAC Operation & Maintenance at the Federal Building/U.S. Courthouse, 1300 S. Harrison St., Ft. Wayne, Indiana.  Performance period is a base of three(3) years with two(2) one year options.  Estimated start date is 12-1-99.  The procurement is a small business set-aside.  Standard Industrial Code(SIC) is 7349.  Solicitation will be available on or about 10-18-99.  This solicitation and any documents relating to the procurement will be found through the Internet at http://www.eps.gov.  This site provides instructions for downloading the file.  Potential offerors will be responsible for downloading the solicitation.  It is also the responsibility of offerors to monitor the site for possible amendments.  Prospective offerors should notify this office by email of facsimile to be placed on the planholders list."
"REFINISH COURTROOM WOODWORK AND FURNITURE, CHICAGO, IL.",General Services Administration,GS05P99GAC0106,0528,99,"Interior courtroom woodwork repair and refinishing for the U.S. District Courts at the Everett M. Dirksen Building, 219 S. Dearborn St., Chgo, IL.  It will NOT be a public bid opening.  Competition is open to all. The estimated cost range of this project is between $750,000 and $1.5 million dollars.  The"
"ELEVATOR MAINTENANCE SERVICE,  AKRON & MEDINA, OHIO",General Services Administration,GS05P99GAC0157,0603,99,"The Contractor shall provide full elevator maintenance service, in compliance with the ANSI/ASME Safety Code requirements, the manufacturer's recommendations, and all other applicable laws, regulations, rules, ordinances, codes, etc.  Full maintenance service is defined as all services, repairs and testing necessary to maintain all elevators, appurtenances and accessories in a fully operational mode at all times except for prescheduled downtime including all labor, parts and materials, at Location #1 Federal Building, U.S. Courthouse, 2 South Main Street, Akron, Ohio, and Location #2 Medina Federal Building 143 West Liberty Street, Medina, Ohio. SIC CODE 1799.  Solicitation to be issued on or about July 1, 1999.  Proposal due on/or about August 3, 1999.  Contract period November 1, 1999 through October 31, 2002, with two, one year option periods.  "" This solicitation and any documents related to this procurement will be available on the Internet.  These documents will be in .doc format and will reside on a world wide web (www) server, which may be accessed using a www browser application.  The www address of the General Services Administration page is http://eps.gov."" Prospective offerors downloading the solicitation shall notify this office (either by electronic mail or facsimile (312)353-0240 in order to be placed on the bidders_ list.  Potential offerors will be responsible for downloading their own copy of the solicitation and amendments (if any).  It is the offerors responsibility to monitor this site for the release of the solicitation and amendments (if any).  Woman Owned Businesses are encouraged to submit an offer."
REPLACE FIRE ALARM SYSTEM,General Services Administration,GS05P99GAC0184,0517,99,"Replace Fire Alarm System at the Federal Building, 650 Missouri Avenue, East St. Louis, IL.  SIC CODE 1799.  ""This Solicitation and any documents related to this procurement will be available on the internet.  These documents will be in .doc format and will reside on a World Wide Web (www) server, which may be accessed using a www browser application.  The address of the Website is htt://www.eps.gov.""  Prospective offerors downloading the solicitation shall notify this office (either by electronic mail or facsimile) in order to be placed on the bidder's list.  Potential offerors will be responsible for downloading their own copy of the solicitation and amendments (if any).  It is the offerors responsibility to monitor this site for the release of the solicitation, its drawings and amendments (if any)."
JANITORIAL AND RELATED SERVICES,General Services Administration,GS05P99GAC0190,0518,99,"Work includes but not limited to furnishing labor, materials, supplies and supervision to perform Janitorial and Related Services at the Gary Federal Building and U.S. Courthouse, 610 Connecticut Street, Gary, Indiana. Performance period is a base of one (1) year with two (2) one year options.  Estimated start date is September 1, 1999.  The procurement is set-aside for Small Business.  The Standard Industrial Code (SIC) is 7349.  Specifications are not yet available.  Specifications will only be available through the Electronic Posting System (EPS) o/a June 15, 1999.  Due date for receipt of porposals will be o/a July  19, 1999, at 4:00 p.m.(central time).  All proposals are to be mailed to General Services Administration, 8396 Mississippi Street, 2nd Floor, Merrillville, Indiana  46410."
"Z-HVAC MODIFICATIONS, FEDERAL BUILDING, URBANA, ILLINOIS",General Services Administration,GS05P99GAC0194,0525,99,"Scope of work consists of but is not strictly limited to, providing all labor, material and supervision to install a new Government furnished rooftop air handling unit.  Furnish and install air ductwork, fittings, insulation, heating coils, piping, valving, temperature control system.  Testing and balancing are required.  The location of the project is the Federal Building, 201 S. Vine, Urbana, Illinois.  Completion time for the project is 60 days after Notice to Proceed.  Estimated financial range is between $25,000.00 and $100,000.00.  In accordance with the small business demonstration program, the solicitation is being procured on an unrestricted basis.  Specifications will be available on the internet at http://www.eps.gov on or about June 8, 1999.  All drawings for the project may be obtained by phoning Debbie Ethell at 217-492-4573 or faxing the same at 217-492-5046 and will also be available on or about June 8, 1999.  Potential offerors will be responsible for downloading their own copy of the specifications and amendments(if any). It is the offerors responsibility to monitor this site for the release of the solicitation and amendments.  All proposals are to be mailed to General Services Administration, Attn: Debbie Ethell, 509 W. Capitol - Suite 206, Springfield, Illinois 62704 by 2:00p.m.(local time) June 25, 1999."
ELEVATOR MODERNIZATION,General Services Administration,GS05P99GAC0212,0611,99,"Elevator Modernization, USRRB Federal Building, 844 N. Rush, Chicago, Illinois.  This project includes, but is not limited to, providing all of the labor, materials, and supervision for the replacement of existing controls and motor generator sets with solid state equipment.  Options include the refurbishment of existing gearless hoist machines, new car enclosures, doors, and elevator maintenance service.  Offers will be accepted from both large and small business concerns.  The SIC code is 1799, and the small business size standard is $7 million. The estimated cost is between $750,000 to $1,200,000.  GSA is issuing this solicitation only electronically.  Interested parties may access the solicitation at www.eps.gov.  This site provides instructions for downloading the solicitation file.  The Request for Proposal will be posted on or about June 29, 1999."
"PENTHOUSE REPLACEMENT, INDIANAPOLIS IN",General Services Administration,GS05P99GAC0213,0615,99,"Scope of work includes, but is not limited to, furnishing all labor, material and equipment necessary to completely renovate four (4) rooftop mechanical penthouses (units A, B, C & D) of the Indianapolis Federal Building & U.S. Courthouse.  This procurement is unrestricted in accordance with the Small Business Competitiveness Demonstration Program.  The Standard Industrial Classification Code (SIC) is 1542 with a size standard of $17 million.  The cost range is estimated between $100,000.00 to $500,000.00.  This is a negotiated procurement and the number of offers received, the identity of the offerors, or the amount of any offer or relative standing of any offer will not be disclosed. Specifications will only be available through the Electronic Posting System (EPS) on or about June 29, 1999.  Electronic drawings for this procurement will be posted in the .dwf format.  If potential offerors do not currently have the software necessary to view this type of file, a free view, Autodesk WHIP!, is available at http://www.autodesk.com/products/whip/ for downloading. Due date for receipt of offers will be July 28, 1999."
ELEVATOR MODERNIZATION,General Services Administration,GS05P99GAC0246,0719,99,"Scope of work includes but is not limited to furnishing all labor, material and equipment for the following: Two(2)existing geared traction elevators to be modernized by replacing obsolete features with state-of-the art improvements. Replace all car and signal fixtures & cover existing fixture cutout plates with over-sized plates; replace cab finishes, lighting and handrails, slate board controller & accessory control equipment with solid state system, replace hoist machine motors with energy efficient, variable voltage, variable frequency units; replace governor, governor rope, tail sheave, car safety, hoist ropes, traveling cables, machine room wiring, hoistway wiring, car wiring, hoistway switches, car switches, car stations, door operators, car door tracks & car door rollers, car door gibs, hoistway door fire gibs, hall stations, car and counterweight roller guides.  Add the following new equipment: infrared curtain safe edge incorporating an independent, dual beam infrared photo eye at 5 & 29 inches; a push-to-talk, programmable, auto dialing car phone; electronic transducer type load weighing sensor incorporating an anti-nuisance feature, wedge socket car & counterweight shackles; variable volume, tone type car arrive chimes; penthouse extension phone to car phone; and a fuse type main line disconnect switch located adjacent to machine deck access point. Work will be performed at the Fed. Bldg/U.S. Cthse, 100 N.E. Monroe, Peoria, Illinois.  The completion time for this project is 150 calendar days.  Standard Industrial Code(SIC) is 1796.  The estimated price range for the project is between $200,000.00 and $300,000.00.  This procurement is unrestricted in accordance with the Small Business Competitiveness Demonstration Program.  Solicitation will be available on or about August 3, 1999.  This solicitation and any documents relating to this procurement will be found through Internet at http://www.eps.gov. This site provides instructions for downloading the file.  Potential offerors will be responsible for downloading the solicitation and drawings.  It is also the responsibility of the offeror to monitor the site for possible amendments.  Prospective offerors downloading the solicitation shall notify this office by email or facsimile to be placed on the planholders list."
TRASH AND RUBBISH REMOVAL SERVICES,General Services Administration,GS05P99GAC0247,0716,99,"TRASH AND RUBBISH REMOVAL SERVICES, FEDERAL CENTER, 74 N. WASHINGTON AVENUE, BATTLE CREEK, MICHIGAN.  WORK INCLUDES MANAGEMENT, SUPERVISION, LABOR, MATERIALS, SUPPLIES, AND EQUIPMENT FOR TRASH AND RUBBISH REMOVAL SERVICES AT THE BATTLE CREEK FEDERAL CENTER.  SOLICITATION TO BE ISSUED ON OR ABOUT 8/2/99. OFFERS ARE DUE ON OR ABOUT 9/1/99.  PERFORMANCE PERIOD IS FOR ONE YEAR WITH FOUR (4) ONE-YEAR RENEWAL OPTIONS, WITH AN ESTIMATED START DATE OF 10/1/99.  ALL RESPONSIBLE, RESPONSIVE OFFERS WILL BE CONSIDERED BY THE AGENCY.  INTERESTED PARTIES MAY ACCESS THE SOLICITATION AT http://eps.arnet.gov.  THIS SITE PROVIDES INSTRUCTIONS FOR DOWNLOADING THE SOLICITATION FILE.  PROSPECTIVE OFFERORS DOWNLOADING THE SOLICITATION SHALL NOTIFY THIS OFFICE (EITHER BY ELECTRONIC MAIL OR FACSIMILE) IN ORDER TO BE PLACED ON THE BIDDERS' LIST."
MECHANICAL OPERATION AND MAINTENANCE SERVICE,General Services Administration,GS05P99GAC0299,0916,99,"Scope of work includes but is not strictly limited to furnishing labor, material and equipment to perform the following:  Mechanical Operation and Maintenance Service at the Federal Building/U.S. Courthouse, West Main & Pine, Benton, Illinois, the Federal Building, 250 W. Cherry, Carbondale, Illinois and the Federal Building, 105 S. 6th Street, Mt. Vernon, Illinois.  Performance period is a base of three years with two(2) additional one year options.  Estimated start date is 12-1-99.  Standard Industrial Code(SIC) is 7349.  The procurement is a Small Business Set-Aside.  Solicitation will be available on or about 10-4-99.  This solicitation and any documents relating to the procurement will be found through the Internet at http://www.eps.gov.  This site provides instructions for downloading the file.  Potential offerors will be responsible for downloading the solicitation.  It is also the responsibility of the offeror to monitor the site for possible amendments.  Prospective offerors downloading the solicitation shall notify this office by email or facsimile to be placed on the planholders list."
REAL ESTATE DATA BASE,General Services Administration,GS05P99GAM0227,0623,99,"The Government is seeking information on Real Estate data bases for office space for the Chicago Metropolitan area.  The system must offer Absorption Studies, Suite-by-Suite Space availability, Contiguous Space Search Capability, Built-in Statistical Analysis, Sales Comps and Weekly updates.  If your software meets these requirements, please contact Catherine Dean, Contract Specialist, at (312)353-7598 no later than July 14, 1999."
"MECHANICAL MAINTENANCE - ST. LOUIS, MO",General Services Administration,GS06P99GXC0018,0112,99,"Mechanical Maintenance, Thomas F. Eagleton Courthouse, 111 South 10th Street, St. Louis, Missouri.  Solicitation will be issued o/a 2/11/99.  The solicitation will be for a base period of 36 months with 2 additional options of 12 months each.  In addition, there will be an option to extend not to exceed 6 months.  Other buildings may be added through contract negotiation at a later date within the 4 state are of Missouri, Kansas, Iowa and Nebraska.  The solicitation will be available on the internet at the following address:  http://www.gps.arnet.gov.  See numbered Note 1."
"SOLID WASTE DISPOSAL - ST. LOUIS, MO",General Services Administration,GS06P99GXC0022,0426,99,"Solicitation for Solid Waste Disposal, 9700 Page Ave., 1655 Woodson Ave., Overland, MO and 111 Winnebago, St. Louis, MO.  Solicitation to be issued o/a 6/1/99.  Bid opening o/a 7/1/99.  Contract will be for a 1 year period with 4 two year options, with an additional option not to exceed six months.  All responsible, responsive bids will be considered by the agency.  The solicitation will be available on the Internet at http://eps.gov. Contractors will be able to download the solicitation and bids will be received as instructed on Standard Form 33, Block 8.  See numbered note 1."
"MECHANICAL MAINTENANCE, DES MOINES, IOWA",General Services Administration,GS06P99GXC0043,0429,99,"Solicitation for Mechanical Maintenance, Federal Building, 210 Walnut Street, Des Moines, Iowa will be issued o/a 5/13/99.  The solicitation will be for a base period of 36 months, with 2 additional options of 36 months each.  In addition, the contract has an option to extend the contract, not to exceed 6 months. This solicitation will be under source selection procedures, both price and technical proposals will be evaluated.  Offerors are cautioned to study all sections of the solicitation carefully.  The solicitation will be available on the internet at the following address:  http://www.eps.gov.  See numbered note 1."
